[2025-02-19 07:04:16] | info |: Cart - Cart documents fetched successfully  | data: {"results":0,"paginationResult":{"currentPage":1,"limit":10,"totalPages":0}}
[2025-02-19 07:06:56] | info |: Cart - Cart document created successfully  | data: {"data":{"user":"67b367cca48a37c3545aab12","items":[{"product":"67b1bc01111aecf7a88d552a","quantity":2,"_id":"67b566f08b5f6c5e658452cc"}],"totalPrice":30,"status":"checked_out","_id":"67b566f08b5f6c5e658452cb","createdAt":"2025-02-19T05:06:56.792Z","updatedAt":"2025-02-19T05:06:56.792Z","__v":0}}
[2025-02-19 07:07:22] | error |: Cart - Cart document fetch failed  | data: {"error":"Cannot populate path `products.product` because it is not in your schema. Set the `strictPopulate` option to false to override."}
[2025-02-19 07:07:36] | error |: Cart - Cart document fetch failed  | data: {"error":"Cannot populate path `products.product` because it is not in your schema. Set the `strictPopulate` option to false to override."}
[2025-02-19 07:12:19] | info |: Cart - Cart documents fetched successfully  | data: {"results":1,"paginationResult":{"currentPage":1,"limit":10,"totalPages":1}}
[2025-02-19 07:15:49] | info |: Cart - Cart documents fetched successfully  | data: {"results":1,"paginationResult":{"currentPage":1,"limit":10,"totalPages":1}}
[2025-02-19 07:16:16] | info |: Cart - Cart document updated successfully  | data: {"data":{"_id":"67b566f08b5f6c5e658452cb","user":"67b367cca48a37c3545aab12","items":[{"product":"67b1bc01111aecf7a88d552a","quantity":2,"_id":"67b56920ee19a6c4d5f08e2b"}],"totalPrice":20,"status":"checked_out","createdAt":"2025-02-19T05:06:56.792Z","updatedAt":"2025-02-19T05:16:16.736Z","__v":0}}
[2025-02-19 07:16:53] | info |: Cart - Cart document deleted successfully  | data: {"data":{"_id":"67b566f08b5f6c5e658452cb","user":"67b367cca48a37c3545aab12","items":[{"product":"67b1bc01111aecf7a88d552a","quantity":2,"_id":"67b56920ee19a6c4d5f08e2b"}],"totalPrice":20,"status":"checked_out","createdAt":"2025-02-19T05:06:56.792Z","updatedAt":"2025-02-19T05:16:16.736Z","__v":0}}
[2025-02-19 07:16:58] | info |: Cart - Cart document created successfully  | data: {"data":{"user":"67b367cca48a37c3545aab12","items":[{"product":"67b1bc01111aecf7a88d552a","quantity":2,"_id":"67b5694aee19a6c4d5f08e32"}],"totalPrice":30,"status":"checked_out","_id":"67b5694aee19a6c4d5f08e31","createdAt":"2025-02-19T05:16:58.283Z","updatedAt":"2025-02-19T05:16:58.283Z","__v":0}}
[2025-02-19 07:17:08] | info |: Cart - Cart documents fetched successfully  | data: {"results":1,"paginationResult":{"currentPage":1,"limit":10,"totalPages":1}}
[2025-02-19 07:21:26] | info |: Cart - Cart all documents deleted successfully  | data: {"deletedCount":1}
